chr	start	end	gene
10	52566322	52645435	A1CF
10	27035522	27149864	ABI1
9	133589333	133761070	ABL1
1	179068462	179198736	ABL2
2	237478284	237491001	ACKR3
2	223725652	223809357	ACSL3
5	131285666	131347355	ACSL6
2	158592958	158731623	ACVR1
2	148602086	148688393	ACVR2A
6	168227671	168364976	AFDN
4	87856154	88062206	AFF1
2	100163718	100722045	AFF3
5	132211071	132299326	AFF4
7	91570181	91739987	AKAP9
14	105235686	105260461	AKT1
19	40736224	40791302	AKT2
1	243665065	244013430	AKT3
12	112204726	112247782	ALDH2
2	29415640	30144432	ALK
X	63404997	63425624	AMER1
8	41512843	41754280	ANK1
5	112043218	112181936	APC
22	39378414	39388789	APOBEC3B
X	66764465	66950461	AR
X	47420516	47431299	ARAF
5	142149949	142606050	ARHGAP26
14	32546495	32628934	ARHGAP5
8	1772142	1906799	ARHGEF10
1	17866330	18024364	ARHGEF10L
11	120207787	120360645	ARHGEF12
1	27022524	27108595	ARID1A
6	157099063	157531913	ARID1B
12	46123448	46301823	ARID2
1	150782181	150849244	ARNT
17	79935426	79975280	ASPSCR1
20	30946155	31027122	ASXL1
2	25956622	26101385	ASXL2
12	51158075	51214905	ATF1
2	216176540	216214486	ATIC
11	108093559	108239826	ATM
1	116916489	116947394	ATP1A1
X	152801580	152848387	ATP2B3
3	142168079	142297668	ATR
X	76760356	77041702	ATRX
16	337440	402659	AXIN1
17	63524681	63557765	AXIN2
15	45003675	45011075	B2M
3	52435029	52444366	BAP1
2	215590370	215674428	BARD1
19	49458186	49465055	BAX
14	35221943	35344853	BAZ1A
1	85731931	85742773	BCL10
2	60684333	60780633	BCL11A
14	99635624	99737565	BCL11B
18	60790579	60987361	BCL2
19	50168823	50177173	BCL2L12
19	45251804	45263301	BCL3
3	187439165	187463515	BCL6
12	122457328	122499948	BCL7A
1	147013182	147098017	BCL9
11	118764584	118781613	BCL9L
6	136578001	136610989	BCLAF1
X	39910501	39956656	BCOR
X	129139164	129192058	BCORL1
22	23522397	23660224	BCR
11	102188226	102208465	BIRC3
2	32582096	32843966	BIRC6
15	91260558	91358692	BLM
6	55618443	55740362	BMP5
10	88516407	88692595	BMPR1A
7	140434279	140624564	BRAF
17	41197646	41277500	BRCA1
13	32889617	32973805	BRCA2
9	136895427	136933139	BRD3
19	15347647	15391262	BRD4
17	59758627	59940882	BRIP1
12	92536286	92539673	BTG1
X	100604438	100641183	BTK
15	40453227	40513337	BUB1B
15	55700746	55710910	C15orf65
3	53529076	53847760	CACNA1D
19	13049421	13055303	CALR
1	6845384	7829766	CAMTA1
17	76987799	77005899	CANT1
